№;improvement_id;spatial_unit_id;market_observation_id;improvement_type_code;building_role;total_area_m2;living_area_m2;floors;rooms;year_built;period_built_text;year_built_source;building_material;condition_code;fit_out_quality_code;legal_status_code;data_source;data_qc_status
1;1 000 000 015;22312829690;1000000001;country (garden house);secondary;;;2;;;1971-1979;stylistic estimation (expert);brick;satisfactory;needs repair;unknown;listing;needs_review
4;1 000 000 018;52605358650;1000000004;residential;secondary;;;1;;;1971-1979;stylistic estimation (expert);mixed;to_demolish;needs repair;unknown;listing;needs_review
7;1 000 000 021;4756682720;1000000007;residential;secondary;;;1;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
9;1 000 000 023;45138280890;1000000009;residential;secondary;;;1;;;1971-1979;stylistic estimation (expert);wood;poor;needs repair;unknown;listing;needs_review
10;1 000 000 024;48288354540;1000000010;residential;secondary;;;1;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
12;1 000 000 026;94438380200;1000000012;country (garden house);secondary;;;1;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
13;1 000 000 027;89514713620;1000000013;residential;secondary;;;1;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
14;1 000 000 028;12701406460;1000000014;residential;secondary;;;1;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
15;1 000 000 029;94809891510;1000000015;residential;secondary;;;1;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
17;1 000 000 031;52790458040;1000000017;country (garden house);secondary;;;1;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
20;1 000 000 034;52358406910;1000000020;country (garden house);secondary;30,00;;2;2;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
23;1 000 000 037;5169682730;1000000023;country (garden house);secondary;;;2;;;1971-1979;stylistic estimation (expert);mixed;poor;needs repair;unknown;listing;needs_review
24;1 000 000 038;16035931690;1000000024;utility;secondary;1 078,00;;1;;;1971-1979;stylistic estimation (expert);mixed;satisfactory;satisfactory;registered;listing;needs_review
28;1 000 000 042;38086331510;1000000028;residential;secondary;;;2;;;development since 2011;stylistic estimation (expert);mixed;unknown;unknown;unregistered;listing;needs_review
30;1 000 000 044;23571673330;1000000030;residential;secondary;;;;;;1971-1979;stylistic estimation (expert);brick;poor;needs repair;unknown;listing;needs_review
32;1 000 000 046;30218788070;1000000032;residential;secondary;;;;;;1971-1979;stylistic estimation (expert);brick;to_demolish;needs repair;unknown;listing;needs_review
35;1 000 000 049;14661589090;1000000035;residential;secondary;61,10;;;;;1971-1979;stylistic estimation (expert);brick;to_demolish;needs repair;unknown;listing;needs_review
