№;market_observation_id;spatial_unit_id;source_site;url;scrape_date;listing_date;status_code;offer_type_code;price_amount;price_currency;price_amount_uah;price_per_m2_uah;title;description;dedup_hash;data_qc_status;normalized_url
1;1 000 000 001;2512182013265391;OLX;https://www.olx.ua/d/uk/obyavlenie/naydeshevsha-fasadna-dlyanka-6-sot-vul-tsentralna-osokorki-metro-4-km-IDS519r.html;27.10.2025;25.10.2025;active;Cost of offer;48 000;USD;2 016 000;3 446;;Найдешевша Фасадна ділянка на Осокорках по вулиці Центральна (Східна), метро Славутич, Осокорки 4 км. Ділянка приватизована площею 6 соток, по фасаду 18,5 метрів, хотя по факту більше 7 соток. Заведено електроенергію, проблем з збільшенням кВт немає, сверловина, інтернет. На ділянці знаходиться два цегляні будиночка і насаджені фруктові дерева. Ділянка приватизована, всі документи готові для оформлення в нотаріуса. Ідеальний варіант для будь якої комерційної діяльності або будинка для постійного проживання. Великий трафік транспорту, поруч зупинка громадського транспорту, метро 5-10 хв машиною..;;ok;
2;1 000 000 002;2512182013261895;OLX;https://www.olx.ua/d/uk/obyavlenie/srochno-prodazha-uchastok-5sotok-rusanovskie-sady-sadovaya-19-dneprovskiy-IDe7EL6.html;30.10.2025;25.10.2025;active;Cost of offer;29 500;USD;1 239 000;3 376;;"Самый недорогой участок в городской черте Киева.
Отличная альтернатива городской квартире. Срочно продам участок на Русановских садах по улице Садовая 19 в Днепровском районе г Киева. 3 км до метро ""Левобережная "". Асфальтированный подъезд. Возможность строительства жилого дома с последующей регистрацией по данному адресу в городе Киеве. 150 м до платформы городской электрички станции ""Воскресенка"". Быстрый выезд на новый Подольско-Воскресенский мостовой переход через реку Днепр.
Возле озера Радужное. Участок фасадный ровный, угловой ,треугольной формы под садоводство. Прекрасные соседи Документы готовы.";;ok;
3;1 000 000 003;2512182013268657;OLX;https://www.olx.ua/d/uk/obyavlenie/dlyanka-10-sotok-pd-zabudovu-kiv-vul-m-chalogo-m-zhitomirska-4-hv-IDVOWi3.html;30.10.2025;31.10.2025;active;Cost of offer;125 000;USD;5 251 000;5 251;;"Продам земельну ділянку під забудову в Києві.
Адреса: м. Київ, Святошинський р-н, вул. Михайла Чалого, 25
Кадастровий номер: 8000000000:75:168:0020 Цільове призначення: для будівництва та обслуговування житлового будинку, господарських будівель і споруд (присадибна ділянка) Площа: 10 соток, правильної прямокутної форми, розмір 25м (фасад) * 40м Комунікації: вздовж фасаду ділянки централізовані (міські) холодна вода, каналізація, ГАЗ, електроенергія. Ділянка має правильну прямокутну форму, розташована в одному рівні, в оточенні лісу. Розпланована, великих дерев на ділянці немає. Сусіди постійно живуть, поряд збудовані сучасні будинки та будуються нові.";;ok;
4;1 000 000 004;2512182013267952;OLX;https://www.olx.ua/d/uk/obyavlenie/prodam-zmelnu-dlyanku-na-chorny-gor-pecherskiy-rayon-IDYLFan.html;30.10.2025;25.10.2025;active;Cost of offer;379 000;USD;15 922 000;15 922;;Пропонується у продаж ділянка 10 соток (під будівництво будинку) на вулиці Товарна, 10 хв від М Дружби народів. На ділянці є невеликий будинок зруйнований 70м2.;;ok;
5;1 000 000 005;2512182013265009;OLX;https://www.olx.ua/d/uk/obyavlenie/dlyanka-kiv-desnyanskiy-miloslavska-troschina-8-3-sot-IDYJquw.html;31.10.2025;21.10.2025;active;Cost of offer;74 430;USD;3 124 000;3 778;;Продам землю під забудову, Київ, Деснянський район, вул.Радосинська переходить в Погребський шлях, поряд зупинки Милославська та Лисківська, ділянка 8,3 сотки друга лінія через дорогу від опікового центру, заїзд за Генстаром, Комунікації у безпосередній близькості. Без дерев та чагарників. Сусіди побудовані, Ділянка підсипана до рівня дороги, не затоплюється, Цільове призначення: Для індивідуального житлового, гаражного та дачного будівництва, експлуатації та обслуговування житлового будинку, господарських будівель та споруд. Можливе використання під комерцію типу СТО, малярка, мийка, склад, логістика і так далі. Вся ділянка 8,3 соток, розмір десь 18,5м фасад на 45м глибина плюс-мінус, обведена померанчевим кольором на 2 му і 3 му фото. Документи на ділянку у повному порядку. Актам на право власності понад три роки. Продається без комісії та переплати для покупця. Власник, хозяїн. Ціна вказана за одну сотку. Кадастровий номер: 8000000000:62:146:0091;;ok;
6;1 000 000 006;2512182013260879;OLX;https://www.olx.ua/d/uk/obyavlenie/uchastok-na-troeschine-IDUKd4J.html;31.10.2025;20.10.2025;active;Cost of offer;90 000;USD;3 777 000;3 777;;Киев, Деснянский р.н. Троещина., ул. Радосинская. Участок под застройку 20-соток правильной формы, можно по-10с. Коммуникации все рядом. Возможно расширение. 9300$ за-сотку.;;ok;
7;1 000 000 007;2512182013260569;OLX;https://www.olx.ua/d/uk/obyavlenie/prodazha-uchastka-14-sotok-tsentr-kiev-shevchenkovskiy-r-n-bez-komissii-IDWNiyv.html?isPreviewActive=0&sliderIndex=9;31.10.2025;28.10.2025;active;Cost of offer;670 000;USD;28 120 000;27 461;;Адрес: ул. Вильгельма Котаржинского, 14 (Николая Кравченко), Шевченковский р-н. Размер участка: 0, 14 га. Статус участка: В собственности. Целевое назначение: Строительство и обслуживание жилого дома. Рельеф участка: Ровный. Форма участка: Прямоугольник. Строения на участке: Есть. Растения на участке: Есть. Подъезд к участку: Асфальтированный подъезд. Зона жилищной застройки. Удобная транспортная развязка. Цена: 670 000 у.е. БЕЗ КОМИССИИ;;ok;
8;1 000 000 008;2512182013260221;OLX;https://www.olx.ua/d/uk/obyavlenie/zemelna-dlyanka-12-sotok-troschina-IDNsq88.html;31.10.2025;26.10.2025;active;Cost of offer;108 000;USD;4 533 000;3 778;;"Власник. Затишна земельна ділянка 12 соток. Деснянський р-н, Троєщина. Знаходиться на перетині вулиць Справедливості та Радосинська ( колишня вул. Леніна). Заїзд з обох боків. Власник, всі необхідні документи в наявності. Поруч електрика, газ. Гарні сусіди (вже побудувалися). Також поруч школа, ТРЦ ""Район"", громадський транспорт, річка Десенка. Розташування ділянки дозволяє здійснити будь-який проект: від будівництва житлового будинку до реалізації свого бізнесу. В цей час на ділянці росте декілька великих дерев. За потреби, розчищення ділянки беру на себе. Цікавить продаж з повною оплатою і переоформленням ділянки на нового власника. Ціна 10 тис. дол. / одна сотка. Продаж максимально не спішний. Посередників прохання не турбувати.";;ok;
9;1 000 000 009;2512182013263510;OLX;https://www.olx.ua/d/uk/obyavlenie/uchastok-pod-zastroyku-petropavlovskaya-borschagovka-IDY4Rm9.html;31.10.2025;18.10.2025;active;Cost of offer;116 910;USD;4 907 000;3 778;;Продам участок на Петропавловской Борщаговке под застройку 13 соток. Ул. Кооперативная 70. Фасад 20 метров. Очень хорошая локация в пешой доступности все магазины АТБ, NOVUS, ФОРА, АШАН и т.д. К окружной дороге 2 км. на машине. Прямой выезд на Житомирскую трассу через чайку. К Эпицентру пешком 10 минут. К обойному рынку пешком 15 минут. До маршрутной остановки 5 мин. На участке есть плодовые деревья, яблони, груши, виноград, орехи, абрикос, есть колодец, летняя кухня и старенький дом есть электричество, по улице проходит городская канализация, газ, очень хорошое тихое место в дали от шумной дороги машины ездят очень редко так как улица тупиковая. До леса 3 минуты ходьбы, до озера 2 минуты. Детский садик и школа в пешей доступности, до магазина 1 минута Есть возможность увеличения участка!!! Хорошие соседи. Цена за сотку 10 000 $;;ok;
10;1 000 000 010;2512182013268920;OLX;https://www.olx.ua/d/uk/obyavlenie/prodazha-zemli-46-sotok-pod-zastroyku-taunhausa-goloseevskiy-park-IDXRmiU.html;31.10.2025;22.10.2025;active;Cost of offer;326 880;USD;13 719 000;3 777;;Київська, Київ, Армійська 7, площа: 46 соток. Цільове призначення - житлова забудова, навколо приватний сектор, поруч Голосіївський ліс, асфальт до будинку, поряд з ділянкою є всі необхідні комунікації - електроенергія, газ, вода, каналізація, 2 виїзди, до просп. Науки 10 хвилин пішки. Поряд зупинки громадського транспорту. Цена указана за 1 сотку.;;ok;
11;1 000 000 011;2512182013262039;OLX;https://www.olx.ua/d/uk/obyavlenie/prodazha-uchastka-10sot-obolonskiy-r-n-prodazha-srochnaya-IDZ6oPn.html;31.10.2025;28.10.2025;active;Cost of offer;240 000;USD;10 073 000;10 073;;Элитный Кооператив «Чернобылец 2001». Участок находится на центральной улице, очень удобный подъезд. Широкие улицы (удобный маневр для машин в обоих направлениях). Земля – 10сот. Участок ровный, прямоугольной формы. Соседи – элитные особняки. Все коммуникации в наличии и централизованные (газ, вода, канализация) вдоль участка. Территория Кооператива охраняется/видеонаблюдение, освещена. Все асфальтировано. Удобная локация: метро Героев Днепра 30мин. в пешей доступности/ 7мин. на транспорте. Рядом супермаркет «Новус» 5мин. пешком, остановка транспорта и другая инфраструктура. Рядом Днепр, заповедная зона. Все соседи построены. Цена 240000у.е.;;ok;
12;1 000 000 012;2512182013268445;OLX;https://www.olx.ua/d/uk/obyavlenie/zemelna-dlyanka-6-sot-vul-medova-solomyanskiy-kiv-IDXG4cN.html;01.11.2025;27.10.2025;active;Cost of offer;56 000;USD;2 350 000;3 917;;"Продається земельна ділянка від власника!!! Без %, ділянка у власності Садове товариство: ""Фронтовик"" Загальна площа 0,6 га (6 соток), під забудову.
Підведена електроенергія, встановлений лічильник. Призначення: 01.06 Для колективного садівництва Розташування ділянка поряд з ЖК Медовий та аеропортом Київ, музей авіації. На авто 15 хвилин до центру столиці. Тихе і затишне місце для проживання в межах міста.";;ok;
13;1 000 000 013;2512182013269863;OLX;https://www.olx.ua/d/uk/obyavlenie/prodazh-zemelno-dlyanki-golosvo-tsentr-tsimbalv-yar-IDYz9Hm.html;01.11.2025;31.10.2025;active;Cost of offer;90 000;USD;3 777 000;3 777;;Земельна ділянка в центрі зеленого Києва — Цимбалів Яр Площа: 10 соток Ціна за сотку. Цільове призначення: під житлову забудову. Виняткова пропозиція в Голосіївському районі — одна з найзатребуваніших і найзеленіших частин Києва. Ділянка розташована на тихій вулиці, серед приватної забудови, всього за 10 хвилин до центру міста. Є Газ/Світло/Центральна Каналізація. Тиха вулиця в межах міста, але не відірвана від активного життя.;;ok;
14;1 000 000 014;2512182013263555;OLX;https://www.olx.ua/d/uk/obyavlenie/fasadna-dlyanka-19-sotok-blya-zhk-lko-grad-vul-grigorya-gulyaynitskogo-IDYjrFp.html;01.11.2025;01.11.2025;active;Cost of offer;499 000;USD;20 943 000;11 023;;ФАСАДНА ділянка в Голосіївському районі — для серйозних інвесторів. Київ, Голосіївський район, вул. Григорія Гуляйницького 42 — 19 соток під комерційний проєкт. Продається фасадна земельна ділянка площею 19 соток у серці динамічно розвинутого мікрорайону Києва. Це не просто шматок землі — це готова можливість для забудови прибуткового об'єкта! Ділянка розташована поруч з ЖК Ліко Град та ЖК Венеція — відо;;ok;
15;1 000 000 015;2512182013261537;OLX;https://www.olx.ua/d/uk/obyavlenie/prodam-zemelnu-dlyanku-v-kiv-z-horoshoyu-lokatsyu-10-sotok-za-146900-IDYSLHh.html;01.11.2025;01.11.2025;active;Cost of offer;137 000;USD;5 750 000;5 750;;10 соток, вул. Маршака, 1 км від м. Академмістечко Двофасадна ділянка (Маршака + Мальвнича) – ідеально під 4–6 таунхаусів чи дуплекси Електрика 14 кВт, свердловина 25 м, 2 септики На територіі знаходиться будинок 60 м2, придатний до життя, але можна і під реконструкцію (можна використати як офіс/відділ продажів);;ok;
16;1 000 000 016;2512182013260389;OLX;https://www.olx.ua/d/uk/obyavlenie/zemelnyy-uchastok-6-sotok-kiev-podolskiy-rayon-IDT6QY5.html;01.11.2025;31.10.2025;active;Cost of offer;100 000;USD;4 197 000;7 428;;"Продам фасадный участок размером 6 соток в Подольском районе Киева. Участок имеет прямоугольную форму, а его территория полностью ухожена и ограждена забором, включая автоматические ворота и калитку. Вдоль улицы проложен асфальт. Все необходимые коммуникации находятся рядом с участком. Имеется разрешение на подключение света, газа, канализации и водопровода. Место тихое и спокойное, а соседи приветливые. Целевое назначение - под жилую, гаражную и дачную застройку (можно переделать). Документы готовы. В наличии индивидуальный проект дома, утверждённый КГГА, в который входят: архитектурный, конструктивный и инженерный разделы. Инфраструктура поблизости: продуктовые магазины, стоматология, спортзал и сауна, чуть дальше школы и рынок. Маршрутка 472 в минуте ходьбы. Следует до станции метро Минская

Адрес - Гамалиевская, 45 (Бестужева)

Цена - 100 000$, договорная. Рассмотрю ваши предложения обмена и способы оплаты";;ok;
17;1 000 000 017;2512182013264871;OLX;https://www.olx.ua/d/uk/obyavlenie/prodam-uchastok-zakrytyy-gorodok-zaezd-tupoleva-mrii-5-metro-nivki-IDXuLBL.html;01.11.2025;31.10.2025;active;Cost of offer;66 000;USD;2 770 000;5 518;;В продаже земля в комфортном расположении возле парка. Магазины, школа, детские сад. Метро, остановки маршруток. Закрытый городок. Соседи построены. На участке дом и летняя кухня. Можно использовать как бытовку для строителей. Электричество подлючено. Рядом городские коммуникации. Удобный асфальтированный Заезд с ул Туполева / Мрии 5. Садовая 4. Вторая линия от многоквартных домой. Отличное место для жизни или сдачи в аренду вдали от актывных удиц.;;ok;
18;1 000 000 018;2512182013264466;OLX;https://www.olx.ua/d/uk/obyavlenie/prodazha-fasadnogo-uchastka-1-35-ga-stolichnoe-shosse-ot-vladeltsa-IDO3tD2.html;01.11.2025;01.11.2025;active;Cost of offer;1 800 000;USD;75 546 000;5 580;;"Внимание!
Предлагается к продаже Фасадный Участок с назначением под коммерческое строительство.
Подходит для постройки торгового центра, магазина, автосалона, АТП, и др. Находится на пересечении ул. Заболотного и Столичного шоссе. Площадь: 1,35 га. Коммуникации: свет, вода, газ, канализация. Рядом находятся: ТРЦ Артмолл, ТРЦ Атмосфера, ТЦ Домосфера, и др. Участок правильной формы, ровный, фасад 90 м.. Стоимость: 1800 000 у.е.";;ok;
