№;market_observation_id;source_site;media_type;file_name;file_ext;mime_type;storage_uri;captured_at;url;sha256;width_px;height_px
1;1 000 000 001;OLX;screenshot;screenshot_1000000001;png;image/png;GVS\media\screenshots\screenshot_1000000001.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/naydeshevsha-fasadna-dlyanka-6-sot-vul-tsentralna-osokorki-metro-4-km-IDS519r.html;;;
2;1 000 000 002;OLX;screenshot;screenshot_1000000002;png;image/png;GVS\media\screenshots\screenshot_1000000002.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/srochno-prodazha-uchastok-5sotok-rusanovskie-sady-sadovaya-19-dneprovskiy-IDe7EL6.html;;;
3;1 000 000 003;OLX;screenshot;screenshot_1000000003;png;image/png;GVS\media\screenshots\screenshot_1000000003.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/dlyanka-10-sotok-pd-zabudovu-kiv-vul-m-chalogo-m-zhitomirska-4-hv-IDVOWi3.html;;;
4;1 000 000 004;OLX;screenshot;screenshot_1000000004;png;image/png;GVS\media\screenshots\screenshot_1000000004.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodam-zmelnu-dlyanku-na-chorny-gor-pecherskiy-rayon-IDYLFan.html;;;
5;1 000 000 005;OLX;screenshot;screenshot_1000000005;png;image/png;GVS\media\screenshots\screenshot_1000000005.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/dlyanka-kiv-desnyanskiy-miloslavska-troschina-8-3-sot-IDYJquw.html;;;
6;1 000 000 006;OLX;screenshot;screenshot_1000000006;png;image/png;GVS\media\screenshots\screenshot_1000000006.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/uchastok-na-troeschine-IDUKd4J.html;;;
7;1 000 000 007;OLX;screenshot;screenshot_1000000007;png;image/png;GVS\media\screenshots\screenshot_1000000007.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodazha-uchastka-14-sotok-tsentr-kiev-shevchenkovskiy-r-n-bez-komissii-IDWNiyv.html?isPreviewActive=0&sliderIndex=9;;;
8;1 000 000 008;OLX;screenshot;screenshot_1000000008;png;image/png;GVS\media\screenshots\screenshot_1000000008.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/zemelna-dlyanka-12-sotok-troschina-IDNsq88.html;;;
9;1 000 000 009;OLX;screenshot;screenshot_1000000009;png;image/png;GVS\media\screenshots\screenshot_1000000009.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/uchastok-pod-zastroyku-petropavlovskaya-borschagovka-IDY4Rm9.html;;;
10;1 000 000 010;OLX;screenshot;screenshot_1000000010;png;image/png;GVS\media\screenshots\screenshot_1000000010.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodazha-zemli-46-sotok-pod-zastroyku-taunhausa-goloseevskiy-park-IDXRmiU.html;;;
11;1 000 000 011;OLX;screenshot;screenshot_1000000011;png;image/png;GVS\media\screenshots\screenshot_1000000011.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodazha-uchastka-10sot-obolonskiy-r-n-prodazha-srochnaya-IDZ6oPn.html;;;
12;1 000 000 012;OLX;screenshot;screenshot_1000000012;png;image/png;GVS\media\screenshots\screenshot_1000000012.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/zemelna-dlyanka-6-sot-vul-medova-solomyanskiy-kiv-IDXG4cN.html;;;
13;1 000 000 013;OLX;screenshot;screenshot_1000000013;png;image/png;GVS\media\screenshots\screenshot_1000000013.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodazh-zemelno-dlyanki-golosvo-tsentr-tsimbalv-yar-IDYz9Hm.html;;;
14;1 000 000 014;OLX;screenshot;screenshot_1000000014;png;image/png;GVS\media\screenshots\screenshot_1000000014.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/fasadna-dlyanka-19-sotok-blya-zhk-lko-grad-vul-grigorya-gulyaynitskogo-IDYjrFp.html;;;
15;1 000 000 015;OLX;screenshot;screenshot_1000000015;png;image/png;GVS\media\screenshots\screenshot_1000000015.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodam-zemelnu-dlyanku-v-kiv-z-horoshoyu-lokatsyu-10-sotok-za-146900-IDYSLHh.html;;;
16;1 000 000 016;OLX;screenshot;screenshot_1000000016;png;image/png;GVS\media\screenshots\screenshot_1000000016.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/zemelnyy-uchastok-6-sotok-kiev-podolskiy-rayon-IDT6QY5.html;;;
17;1 000 000 017;OLX;screenshot;screenshot_1000000017;png;image/png;GVS\media\screenshots\screenshot_1000000017.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodam-uchastok-zakrytyy-gorodok-zaezd-tupoleva-mrii-5-metro-nivki-IDXuLBL.html;;;
18;1 000 000 018;OLX;screenshot;screenshot_1000000018;png;image/png;GVS\media\screenshots\screenshot_1000000018.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodazha-fasadnogo-uchastka-1-35-ga-stolichnoe-shosse-ot-vladeltsa-IDO3tD2.html;;;
19;1 000 000 019;OLX;screenshot;screenshot_1000000019;png;image/png;GVS\media\screenshots\screenshot_1000000019.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodazh-zemelno-dlyanki-metro-demvska-prospekt-lobanovskogo-IDZeXSk.html;;;
20;1 000 000 020;OLX;screenshot;screenshot_1000000020;png;image/png;GVS\media\screenshots\screenshot_1000000020.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/bez-komsprodazh-zemelno-dlyanki-4-3-sotki-osokorki-kiv-IDYAk0w.html;;;
21;1 000 000 021;OLX;screenshot;screenshot_1000000021;png;image/png;GVS\media\screenshots\screenshot_1000000021.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/zemelna-dlyanka-solomyanskiy-rayon-IDSSClT.html?isPreviewActive=0&sliderIndex=11;;;
22;1 000 000 022;OLX;screenshot;screenshot_1000000022;png;image/png;GVS\media\screenshots\screenshot_1000000022.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodazh-dlyanki-pd-zabudovu-persha-lnya-vd-vodoymi-na-troschin-bez-IDWOpfi.html;;;
23;1 000 000 023;OLX;screenshot;screenshot_1000000023;png;image/png;GVS\media\screenshots\screenshot_1000000023.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodam-zemelnu-dlyanku-6-sot-kiv-rusanvsk-sadi-IDZ8a4w.html;;;
24;1 000 000 024;OLX;screenshot;screenshot_1000000024;png;image/png;GVS\media\screenshots\screenshot_1000000024.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/golosvskiy-rayon-32-sotki-zeml-zhitlovo-ta-gromadsko-zabudovi-IDZ7IiS.html;;;
25;1 000 000 025;OLX;screenshot;screenshot_1000000025;png;image/png;GVS\media\screenshots\screenshot_1000000025.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/prodam-zemelnu-dilyanku-20-c-u-kievi-vul-eniceyska-230000-IDYmSFM.html;;;
26;1 000 000 026;OLX;screenshot;screenshot_1000000026;png;image/png;GVS\media\screenshots\screenshot_1000000026.png;2026-01-09 13:24:44;https://www.olx.ua/d/uk/obyavlenie/zemelna-dlyanka-47-sotok-okruzhna-avtorinok-zhulyani-IDUAVKz.html;;;
